series,episode,x_value,win_rate
attention_dou,50000,2806400.0,0.042
attention_dou,100000,5408000.0,0.028
attention_dou,150000,8476800.0,0.28
attention_dou,200000,11196800.0,0.448
attention_dou,250000,13648000.0,0.49
attention_dou,300000,15993600.0,0.56
attention_dou,350000,18246400.0,0.552
attention_dou,400000,20444800.0,0.574
attention_dou,450000,22662400.0,0.6
attention_dou,500000,24841600.0,0.558
attention_dou,550000,27008000.0,0.578
attention_dou,600000,29187200.0,0.564
attention_dou,650000,31347200.0,0.574
attention_dou,700000,33520000.0,0.572
attention_dou,750000,35686400.0,0.59
attention_dou,800000,37849600.0,0.588
attention_dou,850000,40022400.0,0.592
attention_dou,900000,42166400.0,0.618
attention_dou,950000,44300800.0,0.636
attention_dou,1000000,46438400.0,0.634
baseline_50,50000,2806400.0,0.5
baseline_50,1000000,60000000.0,0.5
douzero,50026,3001600.0,0.582
douzero,100053,6003200.0,0.632
douzero,150026,9001600.0,0.632
douzero,200000,12000000.0,0.654
douzero,250026,15001600.0,0.648
douzero,300106,18006400.0,0.658
douzero,350026,21001600.0,0.64
douzero,400000,24000000.0,0.674
douzero,450026,27001600.0,0.668
douzero,500000,30000000.0,0.666
douzero,550026,33001600.0,0.698
douzero,600106,36006400.0,0.658
douzero,650026,39001600.0,0.67
douzero,700000,42000000.0,0.682
douzero,750080,45004800.0,0.68
douzero,800000,48000000.0,0.656
douzero,850026,51001600.0,0.71
douzero,900053,54003200.0,0.708
douzero,950026,57001600.0,0.722
douzero,1000000,60000000.0,0.698
